number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
177,34306573,FAT4,Colorectal Cancer,plasma,"Illumina MiSeq sequencer (Illumina Inc., San Diego, CA, USA)","This study aimed to identify CRC driver genes to assist in the design of a cancer panel to detect gene mutations during clinical early-stage screening and identify genes for use in prognostic assessments and the evaluation of appropriate treatment options. First, we utilized bioinformatics approaches to analyze 354 paired sequencing profiles from The Cancer Genome Atlas (TCGA) to identify CRC driver genes and analyzed the sequencing profiles of 38 patients with >5 years of follow-up data to search for prognostic genes. ",_,_,_,could be new targets for ctDNA analysis development in CRC,_,_,_
178,34306573,PIK3CA,Colorectal Cancer,plasma,"Illumina MiSeq sequencer (Illumina Inc., San Diego, CA, USA)","This study aimed to identify CRC driver genes to assist in the design of a cancer panel to detect gene mutations during clinical early-stage screening and identify genes for use in prognostic assessments and the evaluation of appropriate treatment options. First, we utilized bioinformatics approaches to analyze 354 paired sequencing profiles from The Cancer Genome Atlas (TCGA) to identify CRC driver genes and analyzed the sequencing profiles of 38 patients with >5 years of follow-up data to search for prognostic genes. ",_,_,_,could be new targets for ctDNA analysis development in CRC,_,_,_
179,32953487,EGFR,Non-Small Cell Lung Cancer,plasma,ddpcr( Bio-Rad QX200),"Following extraction of cell-free DNA from plasma using the QIAamp Circulating Nucleic Acid Kit, custom droplet digital polymerase chair reaction (ddPCR) assays were used to assess EGFR ctDNA using the Bio-Rad QX200 system. The ddPCR assay has a limit of detection of ≒0.15% variant allele fraction. Baseline characteristics and imaging reports at time of EGFR ctDNA testing were reviewed retrospectively for a 1 year period.",_,"Patients with liver or bone progression and 3-5 progressing sites are more likely to have informative EGFR ctDNA testing. Detection of EGFR ctDNA is a negative prognostic indicator in the absence of a T790M resistance mutation, potentially reflecting the disease burden in the absence of targeted therapy options.",_,_,_,_,_
180,32884537,EGFR,Lung Adenocarcinoma,plasma,ARMS,"an association between a detectable pre-radiotherapy plasma EGFR ctDNA and early tumour relapse (155 days vs. NR, p = 0.004) was noted. ",_,"an association between a detectable pre-radiotherapy plasma EGFR ctDNA and early tumour relapse (155 days vs. NR, p = 0.004) was noted.",_,_,_,_,_
181,35282050,TP53,Breast Cancer,plasma,Oncomine Breast,Targeted sequencing of ctDNA was performed in 38 patients using commercially available Oncomine Breast cfDNA panel. Whole exome sequencing was performed on matched tumor DNA (n=20). Survival analysis and response to chemotherapy in the study population were evaluated. The detected genomic variants were validated and serially monitored with droplet digital polymerase chain reaction (ddPCR) in 5 patients.,_,"The patients with variants in TP53 showed significantly poorer overall survival than those without [hazard ratio (HR) =3.90, 95% confidence interval (CI): 1.10-13.84, P=0.035] and its impact was also statistically significant in multivariate analysis with breast cancer subtype included. In serially monitored results, changes in the allele frequency of somatic variants (PI3KCA, TP53) of ctDNA were found to be reflective of response to chemotherapy.",_,_,_,_,_
182,29464111,EGFR,Lung Adenocarcinoma,plasma,ddpcr,"Forty-four plasma samples from 37 patients with LADC receiving EGFR-TKI therapy, including 20 who developed resistance, were prospectively subjected to droplet digital PCR-cfDNA analysis to detect EGFR mutations and analysed according to clinical features.",_,_,_,_,_,_,"cfDNA analysis from patients with acquired TKI-resistance disease or extrathoracic disease progression correlated with a high detection rate of TKI sensitive mutations (acquired resistance: risk ratio=2.53, 95% CI 1.50 to 4.29; extrathoracic disease progression: risk ratio=5.71, 95% CI 0.84 to 36.74)."
183,36339926,MET,Non-Small Cell Lung Cancer,plasma,NGS,"All enrolled patients with baseline plasma samples were included. Outcomes were objective response rate (ORR), progression-free survival (PFS) and overall survival (OS) by baseline METex14 and post-treatment clearance, coexisting gene alterations at baseline and disease progression.",_,"atients with detectable baseline METex14 exhibited worse PFS [hazard ratio (HR), 1.77; 95% confidence interval (CI), 0.88-3.57; p = 0.108] and OS (HR, 3.26; 95% CI, 1.35-7.89; p = 0.006) than those without;METex14 post-treatment clearance was associated with better ORR (92.3%; 95% CI, 64.0-99.8 versus 36.4%; 95% CI, 10.9-69.2; p = 0.0078), PFS (HR, 0.44; 95% CI, 0.2-1.3; p = 0.1225) and OS (HR, 0.31; 95% CI, 0.1-1.0; p = 0.0397) versus non-clearance. Among 22 patients with disease progression, 10 acquired pathway alterations (e.g. in RAS/RAF and PI3K/PTEN) alone or with secondary MET mutations (D1228H/N and Y1230C/H/S).",_,_,_,_,_
184,34557222,ABL1,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP2A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
185,34557222,APC,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP3A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
186,34557222,LRP6,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP4A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
187,34557222,FUBP1,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP5A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
188,34557222,KEAP1,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP6A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
189,34557222,TOP2A,Non-Small Cell Lung Cancer,plasma,_,"In the present study, a total of 399 patients with high-quality ctDNA profiling results were included. The mutation status of ubiquitin-like conjugation (UBL) biological process genes (including ABL1, APC, LRP6, FUBP1, KEAP1, and TOP7A) and clinical information were further integrated.",_,"patients with the clinical characteristics of male or history of smoking had a higher frequency of UBL mutation positivity [UBL (+)]; the patients who were UBL (+) had shorter progression-free survival (PFS) (1.69 vs. 3.22 months, p = 0.0007) and overall survival (8.61 vs. 16.10 months, p < 0.0001) than those patients with UBL mutation negativity [UBL (每)",_,_,_,atezolizumab therapy,_
190,34169282,H3F3A,Diffuse Midline Glioma,plasma/serum/cerebrospinal fluid,next-generation sequencing (whole-exome sequencing and capture panel sequencing assays,"Liquid biopsies from multiple biological sources (plasma, serum, cerebrospinal fluid [CSF], and cystic fluid) were collected from 32 pHGG and DIPG patients with known molecular alterations from the sequencing of their tumor tissue",_,"In anecdotal cases where sufficient material was available, cfDNA concentration correlated with disease progression in two examples each of poor response in H3F3A_K27M-mutant DMG, and longer survival times in hemispheric BRAF_V600E-mutant cases.",_,_,_,_,_
191,34169282,BRAF,Diffuse Midline Glioma,plasma/serum/cerebrospinal fluid,next-generation sequencing (whole-exome sequencing and capture panel sequencing assays,"Liquid biopsies from multiple biological sources (plasma, serum, cerebrospinal fluid [CSF], and cystic fluid) were collected from 32 pHGG and DIPG patients with known molecular alterations from the sequencing of their tumor tissue",_,"In anecdotal cases where sufficient material was available, cfDNA concentration correlated with disease progression in two examples each of poor response in H3F3A_K27M-mutant DMG, and longer survival times in hemispheric BRAF_V600E-mutant cases.",_,_,_,_,_
192,29525631,EGFR,Lung Adenocarcinoma,plasma,super amplification refractory mutation system (SuperARMS),"A total of 79 tumor tissues and paired plasma samples were collected. The EGFR mutation status in tissue was tested by ADx-ARMS, matched plasma was detected by ddPCR and SuperARMS, respectively.",_,"the ORR was 67.6% (25/37) and 28.6% (4/14) respectively in patients with or without EGFR mutation, P = .025. Median PFS was significantly prolonged in EGFR mutation patients compared with EGFR wild-type patients (12.0months vs 5.0 months, P = .009).",_,_,_,TKI therapy,_
